,trna.rep.1.tp.1,trna.rep.2.tp.1,trna.rep.3.tp.1,trna.rep.1.tp.2,trna.rep.2.tp.2,trna.rep.3.tp.2,trna.rep.1.tp.3,trna.rep.2.tp.3,trna.rep.3.tp.3,trna.rep.1.tp.4,trna.rep.2.tp.4,trna.rep.3.tp.4,rbf.rep.1.tp.1,rbf.rep.2.tp.1,rbf.rep.3.tp.1,rbf.rep.1.tp.2,rbf.rep.2.tp.2,rbf.rep.3.tp.2,rbf.rep.1.tp.3,rbf.rep.2.tp.3,rbf.rep.3.tp.3,rbf.rep.1.tp.4,rbf.rep.2.tp.4,rbf.rep.3.tp.4
VNG_1176G,48.9513,49.3348,48.1303,38.838,42.4992,41.264,48.1687,42.9334,29.3176,25.5727,29.9456,28.6961,28.8962,27.5414,19.3616,22.335,7.57394,11.0461,15.3015,9.52463,18.7006,13.8963,3.14535,10.8528
VNG_1178H,37.0056,30.0644,38.4873,30.9972,27.3352,32.659,35.6654,32.4717,19.1437,15.9944,20.5429,19.8043,0,26.7369,0,0,13.288,20.6177,0,0,0,21.1789,0,0
VNG_1179C,21.8046,19.5367,18.8079,20.7248,23.9938,22.0303,32.5432,24.253,18.9277,18.0619,17.8042,16.2588,0,5.82746,2.73712,3.63679,2.31495,3.48352,0,1.47434,1.08957,2.64028,0,3.26172
VNG_1180G,66.4202,63.6877,66.6767,57.2397,67.7679,58.3187,87.5448,69.014,66.5936,166.689,134.001,171.748,47.0923,25.0322,34.5765,23.042,12.9289,20.7355,5.21041,3.43941,12.6898,17.0499,6.71115,31.8098
VNG_1181G,43.0873,40.5549,41.9686,41.2991,43.8884,42.7926,85.3595,57.8267,59.4518,74.0655,70.036,73.3769,8.89152,8.52402,5.68416,14.8318,6.03876,10.809,0.828855,8.94067,11.665,9.17117,2.03188,11.1684
VNG_1182H,16.9996,18.2316,32.6081,24.3642,25.3782,39.8905,88.4851,60.7805,58.039,63.8005,68.3461,66.6151,6.74945,3.08146,2.41969,6.63391,4.35354,4.1941,0,2.34729,1.91939,0,2.31517,2.29015
VNG_1184G,6.23685,7.8225,23.6287,14.6435,13.976,25.221,34.4743,22.4422,14.6813,27.3563,31.5501,30.6157,4.60924,0.663313,2.99998,2.05645,3.47908,2.81538,0.771858,3.79703,2.01729,1.92102,2.4533,0.552638
VNG_1183H,17.1837,39.8509,124.72,51.8682,49.2238,90.1807,47.0006,65.1835,50.2731,53.4582,57.0128,69.2313,28.7488,0,0,0,0,14.7665,0,12.785,0,0,0,0
VNG_1185G,4.52474,6.00445,7.62712,8.04111,10.3698,12.8288,68.7777,51.0533,54.5837,59.2255,54.9188,40.6293,0,1.90605,2.3201,1.50639,4.00608,6.6334,10.0456,15.6526,20.8097,11.3542,11.1069,20.5902
VNG_1187G,7.72886,19.7051,132.391,17.9695,21.6401,62.3136,75.4687,25.5243,27.6518,21.9539,22.6959,33.8771,10.41,4.96337,16.5654,7.07935,1.29077,8.12321,5.50714,5.16828,7.74843,3.00264,7.49182,6.05704
VNG_1188G,200.329,194.256,195.843,161.56,166.553,198.584,122.422,112.317,88.9589,39.4217,46.6827,40.8132,84.8267,69.7174,40.7559,99.6587,44.0947,69.2744,10.2452,21.7352,20.2105,5.28306,6.1716,8.38332
VNG_1189H,658.358,554.096,585.003,606.759,636.728,624.538,379.819,683.817,612.781,467.662,596.796,439.394,167.736,147.074,110.212,258.938,101.395,121.764,80.3189,99.6057,85.9155,23.7424,21.6646,26.4644
VNG_1190G,1210.85,1111.26,1269.79,1557.82,1769.98,1561.95,2600.92,2999.59,3421.38,2312.11,2077.3,2102.21,127.551,81.9176,75.3095,122.395,114.364,89.4544,108.893,90.6089,168.351,89.5188,60.597,87.7517
VNG_1191G,18.7731,21.62,24.7902,18.2359,22.2625,25.9912,33.3807,14.9605,24.355,8.01907,10.7302,13.1201,10.3753,1.87302,2.58647,3.74354,0,1.70624,2.75391,0,6.07408,2.14424,0.991385,0
VNG_1193C,10.8124,9.12407,11.5444,11.2195,10.0115,12.4385,31.0089,29.8128,25.1226,21.4047,24.1029,17.176,9.56125,4.70145,4.66966,7.87058,4.59957,4.19402,1.34199,7.27357,5.45547,7.84299,9.57398,8.38225
VNG_1194H,356.899,319.935,287.161,280.581,345.756,358.785,275.898,156.293,156.31,56.9975,57.8378,45.4122,249.409,41.5319,0,0,20.641,0,0,27.729,0,16.4492,28.5822,0
VNG_1196H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_1197G,118.802,115.798,98.5426,81.3822,81.4369,81.8516,45.8683,37.9436,27.3278,13.3739,13.4289,15.5199,21.8506,4.65485,1.56379,6.12215,1.76902,0.714289,0.940777,0,1.97163,0,0,1.24291
VNG_1198C,90.6984,75.4125,68.8741,55.4208,54.3861,53.5172,36.1238,23.7669,16.7707,9.13303,8.83644,9.55591,30.1665,11.9883,8.93692,11.4201,4.46003,6.03333,0,1.41769,1.03554,1.41303,2.61858,0.849886
VNG_1200H,174.12,147.276,134.551,132.394,153.541,166.513,97.4495,154.679,144.751,64.2677,87.703,64.4187,200.628,178.18,248.149,376.038,110.692,223.276,152.161,297.407,157.247,70.5704,61.3116,373.9
VNG_1201G,75.9713,59.6652,61.1504,57.6224,56.7147,54.5248,46.0444,66.8728,41.9547,27.8975,34.425,26.1134,21.1592,19.2187,5.38912,21.7441,19.3087,12.9274,9.16201,6.19238,9.83065,3.10454,2.8578,8.49109
VNG_1202C,76.0886,63.0619,59.9642,53.2843,46.3689,41.7101,29.4315,23.0766,14.2592,8.78929,8.96069,10.3184,4.38593,10.4862,8.22296,2.17478,12.7557,5.14821,6.09188,1.88171,1.23361,1.08471,1.65534,0
VNG_1204G,378.76,323.53,298.218,206.545,192.346,187.714,34.2243,19.5736,11.2659,5.65233,5.72771,9.16091,121.171,49.9694,29.1292,39.9493,20.9588,24.4621,4.65868,0.948714,0.6675,1.21437,0.857561,0
VNG_1205C,44.7321,43.4565,34.8721,26.4262,21.9323,43.9641,27.0798,10.0215,8.3967,4.09275,4.24667,5.54678,32.3381,24.1348,17.0419,20.5658,9.09026,26.6152,1.05281,2.14268,4.06513,0,0.625556,1.69098
VNG_1207C,8.4943,9.20908,10.1138,6.21598,9.17119,10.7165,25.8314,6.21931,6.44987,2.67182,3.20032,4.35275,0,4.87158,2.42987,3.0175,2.1347,1.48387,0,5.14326,3.74568,0,0,0
VNG_1208G,2.68867,3.30987,4.37251,2.78733,4.04821,4.46784,22.5172,4.55603,4.50206,4.26609,4.35473,7.33584,0,1.57704,1.58437,0.71973,0.912411,1.39113,0,0.60574,0,0.376522,1.15228,0.730887
VNG_1209G,1.63687,2.37234,3.27866,1.42225,2.96062,2.47141,15.1172,3.17229,3.06468,3.79133,4.96237,6.4454,0,0.489015,1.16191,0,0,0,1.91068,0,0,0.800187,0,0
