,trna.rep.1.tp.1,trna.rep.2.tp.1,trna.rep.3.tp.1,trna.rep.1.tp.2,trna.rep.2.tp.2,trna.rep.3.tp.2,trna.rep.1.tp.3,trna.rep.2.tp.3,trna.rep.3.tp.3,trna.rep.1.tp.4,trna.rep.2.tp.4,trna.rep.3.tp.4,rbf.rep.1.tp.1,rbf.rep.2.tp.1,rbf.rep.3.tp.1,rbf.rep.1.tp.2,rbf.rep.2.tp.2,rbf.rep.3.tp.2,rbf.rep.1.tp.3,rbf.rep.2.tp.3,rbf.rep.3.tp.3,rbf.rep.1.tp.4,rbf.rep.2.tp.4,rbf.rep.3.tp.4
VNG_0001H,180.508,195.282,155.381,314.237,343.074,295.048,616.561,460.926,441.994,231.424,212.569,187.331,98.192,59.8052,40.018,161.788,123.223,82.199,133.688,164.998,125.049,98.5647,46.8641,49.1149
VNG_0002G,124.386,122.243,107.936,250.136,219.123,216.454,344.104,433.814,311.68,167.068,160.603,129.399,132.275,112.961,97.5757,238.204,214.356,192.329,202.477,268.165,209.659,133.823,78.8072,84.7839
VNG_0003C,81.2127,81.2543,80.5624,185.058,168.876,168.045,293.276,323.267,231.055,134.921,131.385,109.123,47.4229,36.0986,28.8023,79.9873,66.5402,63.6516,58.5972,79.8829,76.5364,66.0623,46.2879,51.8573
VNG_0005H,59.6525,56.0876,51.7744,57.9847,56.8178,60.5386,57.2948,47.5291,39.115,17.425,19.5693,18.9971,89.8629,42.8969,29.9986,65.4006,43.3814,47.6019,23.6439,43.2015,38.1924,17.3307,13.854,10.8513
VNG_0006G,128.493,122.837,118.426,114.281,123.842,118.713,142.918,153.62,118.152,63.4267,68.0029,60.6515,51.8271,33.5069,18.1323,37.4741,27.7636,27.3945,11.9871,19.2127,26.8954,15.4835,9.53997,11.9268
VNG_0008G,86.6925,90.0111,72.5836,76.0745,91.8541,71.2284,98.9682,101.715,74.8136,45.5451,45.4179,39.7613,44.7745,41.6055,21.7584,46.2211,23.139,25.4631,8.70989,24.3176,23.747,14.781,10.6045,18.2934
VNG_0009G,47.2585,60.1556,42.9115,40.7085,55.5359,45.1759,83.1917,41.199,37.6166,14.4507,15.2873,19.1062,32.2823,20.6767,16.1413,32.5388,16.9245,21.6583,5.79479,13.2348,16.2952,1.80097,0.958213,2.32786
VNG_0011C,106.226,95.731,75.7351,65.5501,68.4121,77.5441,70.2405,31.023,25.9018,15.5183,14.7212,19.1159,75.3679,30.0302,20.0376,39.3796,26.9367,26.3256,10.4626,12.6516,14.8005,17.4849,15.9292,8.50723
VNG_0013C,1285.97,1291.37,1237.1,2004.95,1916.67,1726.7,3238.76,4099.26,3586.39,2592.09,2490.89,2091.82,45.0564,47.2676,32.9649,67.396,43.0927,47.9558,52.7798,84.5167,86.7769,30.6045,14.5375,42.9983
VNG_0014C,5.68512,9.75836,19.6015,6.12814,15.7713,10.3907,199.444,6.39381,21.3496,8.28169,12.3653,20.5087,0,0,25.7071,0,0,0,0,0,0,0,0,0
VNG_0015H,119.466,127.87,127.895,108.447,119.31,97.1009,79.6306,36.2768,28.841,61.7295,44.5085,60.9511,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0016H,92.8804,96.8962,99.4903,108.72,131.724,128.571,194.229,117.717,98.1494,156.941,122.032,198.66,0,12.6771,11.7337,22.2372,0,0,8.06506,0,0,8.80307,4.75841,14.1136
VNG_0017H,4.32497,5.96547,10.6247,4.24575,9.17162,7.32353,40.7768,3.44541,7.83086,2.36262,3.07243,6.26869,0,2.96208,3.66689,0,0,0,0,0,0,0,0,0
VNG_0018H,4.75317,11.3179,12.0324,5.54732,10.3299,9.68253,69.7715,3.09487,12.6828,3.85862,6.79273,18.855,0,4.11201,0,12.6227,8.17453,2.65057,0,0,0,13.0289,0,0
VNG_0019H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0020H,4.975,10.3119,10.479,6.12018,11.8508,9.62883,41.8071,5.00005,12.4611,4.4385,4.41476,10.9511,2.71242,1.48847,1.96874,2.47634,0.775325,2.15327,2.48453,0,1.29747,0,0,0
VNG_0021H,27.6192,33.6758,21.0086,23.9171,33.3793,22.6798,143.072,9.54879,12.0072,10.8193,12.3995,17.1695,8.73194,1.98695,0.943406,3.07744,1.89948,0.688337,1.3423,1.25724,0.775457,1.09472,2.09816,1.19078
VNG_0022H,8.27582,13.5845,13.1202,6.67695,12.5825,12.1839,51.9139,3.76009,9.94263,5.21349,4.65345,9.73278,4.65469,2.62909,0.73328,0,0,0,0,0,0,0.993695,0,0
VNG_0023H,3.68455,4.85004,5.51717,2.90125,5.72325,5.6613,36.5996,3.58906,5.56333,3.31907,3.59784,7.23775,0,1.30228,0,0,0,3.36539,0,0,0,0,0,0
VNG_0024H,5.69048,14.7064,11.1524,4.66962,14.2364,13.7654,73.5487,7.41034,18.4374,7.50675,7.37575,14.7594,0,1.69557,2.53389,0,0,3.8947,0,3.4853,1.56915,0.473339,0,0.579299
VNG_0025H,34.523,43.8913,34.9328,54.0863,50.9288,63.9047,130.767,62.7414,74.2847,56.9147,59.7128,50.4734,0,0,0,0,0,6.34181,0,0,0,0,0,0
VNG_0026C,349.706,357.234,429.297,650.845,534.488,541.297,576.238,1577.61,1535.34,1906.6,1654.95,1240.08,0,3.48213,3.39163,9.19369,6.41462,2.18464,6.65103,7.87612,4.86191,0.786775,7.65127,7.04261
VNG_0027H,12.6966,18.2312,18.8647,12.0813,20.6947,19.9751,91.2817,11.8353,19.2469,7.53707,9.58052,18.889,4.03547,1.74796,0.78449,1.61477,0.615737,0.309103,0.818111,0.598251,1.26949,0.350564,0.493876,0.961707
VNG_0028C,6.25815,11.83,12.5687,6.91685,13.7492,13.014,91.4547,11.2045,15.7616,6.35766,6.64912,14.9972,2.72783,2.70381,0.866774,5.45104,3.14916,1.13262,0,1.04633,1.63108,0,0,1.15356
VNG_0029H,7.74189,19.4429,22.7689,12.706,21.4875,21.7956,271.98,15.1525,39.6672,13.1605,26.8536,49.8251,4.67078,0,0,1.97994,0,0,0,0,1.00148,0,1.00311,0
VNG_0030H,4.37202,7.68445,7.13624,9.25152,13.6247,12.4662,75.9389,16.0883,18.0161,1.96613,3.0586,4.84954,0,3.23586,0,0,0,0,0,0,0,2.54629,0,0
VNG_0031H,14.18,20.7359,18.6126,15.9352,22.8056,20.8291,82.4437,20.5116,22.2964,5.88484,6.38246,12.0346,1.93925,0.525118,0.448307,1.26313,0.468119,0.508268,0.423217,0.765049,0.420779,0.184796,0.222425,0.591267
VNG_0032H,16.0826,25.1972,22.4041,20.848,26.4629,32.4525,110.644,18.8421,30.9482,9.59892,12.0308,19.1157,12.8787,2.81707,3.10823,9.27379,3.62624,0,0,2.39136,0,0,0,0
VNG_0033H,10.6266,18.8515,18.1634,10.779,20.7615,21.1783,167.53,10.325,23.9832,9.16657,13.2558,29.355,9.08929,1.62112,3.90022,9.32819,3.41084,4.96497,0,4.45207,3.421,0,4.92005,0
VNG_0034H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0035H,80.6579,91.8277,85.2471,81.0414,95.2097,79.4965,75.7333,51.0173,49.8737,72.1002,56.4845,66.6812,14.6237,7.97693,6.21486,7.26187,7.18861,7.772,4.51402,3.1154,1.0724,0.917259,4.331,1.59561
VNG_0037H,335.887,340.138,327.951,331.242,401.578,347.046,671.212,444.019,398.476,367.714,279.986,306.014,29.9774,34.943,0,0,9.92365,7.69877,22.7356,13.3314,20.139,15.8167,13.7416,0
VNG_0038H,202.834,203.133,143.245,154.125,213.047,144.829,164.399,101.002,91.856,157.507,102.466,115.813,42.4298,7.56877,5.69285,0,7.27404,14.1846,0,12.2812,9.27628,7.28537,37.9772,0
VNG_0039H,69.3464,91.316,102.76,67.951,82.5898,112.183,225.936,71.7456,138.312,109.364,79.112,136.005,36.1904,8.72103,3.29874,5.33633,8.20579,3.69791,0,9.20488,10.3794,3.95652,1.11404,6.18491
VNG_0040C,132.132,149.104,135.229,209.052,233.82,190.782,385.25,285.342,233.046,153.107,134.773,143.027,28.3795,4.57226,7.6836,13.8258,6.36603,19.0789,0,24.8476,9.42127,5.46259,0,5.28296
VNG_0041C,154.376,166.836,190.421,230.311,266.744,228.762,496.056,319.936,298.11,201.053,140.092,194.537,0,24.7695,13.6281,33.7936,16.4136,29.712,12.5348,58.8,22.2065,13.0804,15.1523,0
VNG_0042G,446.66,464.406,522.414,602.887,593.656,617.831,502.998,535.642,532.507,528.041,534.416,512.428,15.6454,17.9843,16.4707,36.3218,10.6008,19.2749,8.08806,6.04859,10.8051,3.94365,4.98115,3.09576
VNG_0043H,934.699,983.402,1192.47,1321.77,1672.16,1713.12,3550.77,1410.19,1787.18,808.167,721.5,840.018,5.32268,12.9851,9.89428,29.7347,12.1357,13.156,5.80705,5.34342,6.00472,1.0726,3.01738,3.24035
VNG_0044H,728.348,702.808,854.771,900.403,978.857,1023.8,1204.74,1885.92,1883.99,855.34,979.012,667.816,34.4489,13.828,12.9696,43.0932,14.2703,26.7294,9.62653,16.4357,25.3152,5.35591,3.6226,12.1868
VNG_0045C,32.0813,31.0849,25.7984,21.0951,26.5671,25.5252,61.4429,16.6138,19.1655,11.5966,11.3209,15.7802,10.4842,3.09218,1.84512,2.98201,1.82098,2.023,1.58445,1.58605,1.95178,0.689499,0.534055,0.843571
VNG_0046G,136.145,138.693,119.492,99.8103,115.527,105.067,115.455,65.599,56.329,48.4837,40.3673,47.6054,18.9343,4.24509,5.09758,7.34068,6.47435,4.00146,0,2.10503,1.01901,0.86086,0,2.51003
VNG_0047G,117.56,108.239,73.3022,77.3044,90.921,76.4682,69.6383,32.341,25.8448,26.0505,21.7207,25.5277,52.9268,51.3678,30.8207,60.4581,23.1942,40.3404,7.47275,11.5678,10.6734,17.8565,7.02556,5.33022
VNG_0049H,163.677,204.04,122.461,94.5453,102.021,96.696,56.3978,16.0302,18.4326,5.35609,5.21447,11.8517,3.06468,0.561908,0.207515,0.396578,0.257109,0.15747,0,0.0371163,0.029116,0.0190996,0.023193,0
VNG_0050C,19.2629,33.7459,28.4089,15.5863,24.5437,28.9157,79.1784,7.31603,19.7342,5.1396,7.22528,19.8204,4.91898,0.803909,0.462478,0.841137,0.975925,0.994393,0.0977534,0.414224,0.783464,0.325443,0.159152,0.116202
VNG_0051G,125.59,134.642,125.151,87.5161,104.551,108.952,136.781,43.19,46.7189,14.3711,14.8636,22.9975,30.095,9.17828,6.38569,8.42127,10.1751,5.99875,17.388,6.47505,8.90931,6.13317,2.97584,2.80745
VNG_0052H,55.7169,64.5976,67.7069,80.7901,80.6546,89.8253,130.65,51.2879,55.4733,18.8742,18.8117,34.6852,15.6869,5.86373,3.75561,10.179,7.05387,5.62764,0.723039,3.24553,2.78271,0.588577,0.449535,0.738974
VNG_0053H,48.1265,71.5045,53.6798,90.7849,97.474,97.7471,567.812,328.209,434.081,245.207,212.544,187.949,41.3571,35.5236,35.2268,63.6703,41.2412,54.7985,62.3032,106.93,146.248,37.1277,35.9781,67.9704
VNG_0054H,2.71233,6.73252,6.69914,2.59869,6.51766,6.84341,46.7621,3.40002,10.0976,4.08624,4.85932,10.9079,8.41878,0.597807,0,0,0,2.57241,0,1.56357,1.24006,0,0,1.8818
VNG_0055H,5.79935,13.3318,11.6223,9.87925,10.4419,10.0539,23.3122,4.89171,7.00027,4.84523,5.03534,8.40569,23.852,0,9.83387,12.1925,0,0,0,0,0,2.75379,0,0
VNG_0056H,31.3507,31.0325,24.1151,19.0883,20.6212,22.1856,38.3677,4.38982,7.85373,3.24046,3.76215,7.70269,7.15816,1.4398,1.98245,1.6296,1.21523,1.55327,0.688904,0.943595,1.49909,0.69672,0.610641,0.256286
VNG_0057H,58.931,72.0027,68.4261,55.1152,63.316,74.48,73.1839,18.045,25.6254,9.63098,8.91977,16.8219,7.16651,5.67043,1.48843,5.37637,4.58914,3.07292,1.36477,2.90416,2.2242,0.969944,1.03203,0.465656
VNG_0058H,54.5788,63.671,59.084,69.8706,72.1791,71.1787,129.418,52.6695,45.2575,33.2495,27.5446,35.1898,26.6334,5.28878,3.65039,10.1839,6.73083,8.20834,11.1376,9.79533,5.00276,5.96654,3.88279,4.83479
VNG_0059H,55.1887,62.3304,50.2737,85.3591,81.5049,68.5639,134.733,74.2736,57.0619,39.3155,37.9824,35.1482,8.68375,2.87028,2.32219,6.26891,3.42152,4.30008,1.1226,3.33174,2.1983,1.21134,1.22874,0.962649
VNG_0060G,92.164,108.073,66.7559,62.1234,91.1303,67.6851,119.339,37.0467,34.3784,17.1332,13.3336,20.3269,5.94667,1.19221,0.515303,1.31423,1.16327,0.47373,1.74899,1.01384,1.17342,0.496179,1.0862,0
VNG_0061C,73.6235,80.376,61.25,56.3511,66.025,58.8433,89.1879,29.1523,22.9838,13.5028,12.1465,15.4424,6.32741,3.74145,1.49908,1.36082,4.02926,1.9468,4.66704,2.53176,2.62026,2.36304,1.01699,0.381977
VNG_0062G,58.8091,72.3695,54.4794,47.9496,55.6523,56.8536,72.6983,9.38732,15.0248,5.05982,6.50689,14.7977,15.7731,8.80692,3.99992,12.5723,2.03208,5.1452,1.22091,1.53131,0,0,0,0
VNG_0063G,108.997,102.587,80.6359,85.1591,84.8034,87.5508,56.656,17.0353,12.1048,4.10449,4.06965,7.72348,3.81238,1.07642,0.696448,2.00673,0.371914,0.963922,0.198597,0.525224,0.0825069,0.211586,0.0957445,0.133217
VNG_0064G,12.9495,15.8213,13.9892,10.4995,13.219,13.9738,64.196,15.9492,18.5327,10.7504,11.2781,14.8055,1.17215,0.403896,0.441213,0,0,0.499464,0.61634,0.530412,0,0,0.289533,0
VNG_0065G,76.4048,73.3827,58.157,48.8567,56.3772,51.2089,42.8863,12.2853,12.0855,7.07974,5.60828,9.14997,7.16739,5.80434,1.72318,3.38196,6.92522,7.86032,0,0.98253,0,0,0,0
VNG_0066H,167.135,161.091,164.044,156.113,178.069,154.245,268.204,178.365,215.489,291.977,223.148,334.787,0,26.7369,8.2747,82.0748,106.304,0,60.887,71.4041,121.35,10.5895,73.6011,22.4423
VNG_0067H,39.9583,41.2556,40.606,31.2516,44.4298,33.4636,110.259,41.7858,45.1301,62.7138,47.5131,67.1965,0,13.0774,4.14299,23.5812,7.63562,6.77112,4.71027,7.90392,9.00555,0,0,6.96027
VNG_0068H,10.5722,19.6139,24.6066,9.55464,20.1466,13.6242,100.677,6.97769,14.5824,11.1499,11.265,28.9271,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0069H,452.596,513.314,571.936,583.614,716.839,671.934,1194.52,839.544,915.259,1089.88,840.421,1061.28,331.541,69.0107,51.2589,254.212,246.943,127.719,125.725,184.301,167.049,131.196,0,92.6814
VNG_0070H,453.21,494.992,505.502,535.978,628.931,573.613,1339.55,767.99,897.927,966.278,852.598,991.634,0,9.11805,0,9.32996,6.04212,4.68748,0,8.11695,6.13093,0,0,0
VNG_0072H,24.1596,28.6301,29.1328,29.9635,43.8039,33.9942,39.8438,22.5234,33.6637,20.8797,18.4848,25.6246,11.2792,10.6214,8.40366,2.86712,6.6313,5.61787,0,0,8.81185,0,0,0
VNG_0073C,6.84787,6.76087,7.26953,5.36962,8.82552,6.27731,23.7074,5.26945,4.35048,4.3083,3.98278,6.89556,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0075H,15.0564,23.1588,32.5631,29.4031,28.0405,30.0203,69.6269,30.2746,30.8411,15.8341,12.3886,19.5746,45.0363,29.9979,37.1358,0,14.9087,23.1324,34.1567,0,15.1278,11.8811,20.6445,0
VNG_0076H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0077H,128.776,136.559,113.533,109.885,123.034,103.507,81.6595,42.9105,36.665,13.8118,13.9425,15.2076,31.3778,17.8994,7.3592,12.3203,10.8811,6.88298,6.14375,7.02848,9.83503,9.06385,2.64814,4.22136
VNG_0079H,8.27157,8.51877,15.4004,7.26029,10.5907,6.93649,43.5272,3.72107,11.9813,1.7011,6.96423,7.03353,54.4318,9.06404,22.4416,27.8241,0,0,0,0,0,0,0,0
VNG_0080H,62.226,51.6109,44.9456,41.6887,42.1982,41.631,56.4087,19.7083,15.597,8.18396,8.14359,9.45568,53.2638,27.6151,27.6458,35.009,6.42893,7.20496,0,8.68721,6.08147,5.20876,7.44586,11.2947
VNG_0081G,25.5099,22.6265,24.5051,19.4621,25.4222,24.2849,44.9541,21.4561,16.1421,12.2832,15.2509,17.66,4.14408,3.04195,0.796378,2.44098,0,1.191,0.779134,0.571078,0.839502,0.37504,0.481455,0
VNG_0084G,33.1605,29.958,24.7607,26.2276,27.0216,26.6316,33.3548,20.1934,17.339,20.1861,18.4295,19.9051,43.7628,16.4151,8.94897,18.5536,16.8175,13.1913,13.5002,5.46464,6.49874,3.65727,8.93249,2.13575
VNG_0085G,40.3257,37.0711,28.5034,25.716,28.829,26.0725,48.2045,28.6592,22.1029,24.5079,24.3463,24.8491,3.92886,1.17849,0.848003,2.24613,1.25922,1.11719,0.923806,0.634375,1.22159,0.815719,0.46352,0.748286
VNG_0086G,11.7006,12.43,12.3528,10.6097,14.8509,14.0705,45.0849,21.5155,18.4798,19.2326,25.0104,21.8627,5.03371,3.10753,2.72445,6.80502,4.68618,4.09077,6.86424,2.03942,3.7632,2.93186,1.90063,9.08646
VNG_0090G,17.4083,17.5885,16.4384,12.5005,16.2446,17.9209,42.7782,21.4352,18.0854,19.4344,26.46,23.2831,34.008,22.2435,17.6619,23.2165,7.69221,10.1156,7.15117,19.7938,14.4991,3.65246,6.47227,15.9696
VNG_0089G,44.8583,37.5118,44.1188,23.0883,31.2087,34.7497,42.2969,28.6044,24.4761,37.3325,57.9515,44.9045,116.159,38.4935,49.7158,49.2571,36.8566,42.9389,12.6074,12.1225,26.3872,33.6037,22.3333,33.094
VNG_0091C,7.98995,7.90154,7.84436,4.50687,7.6655,8.34044,24.7702,5.81301,6.24398,4.11822,5.06903,6.97271,36.1111,29.7346,16.7383,13.9262,13.7458,16.0283,3.02686,5.3463,11.5853,3.49231,1.77699,2.11765
VNG_0094C,208.267,198.662,182.083,150.071,166.015,152.102,113.43,105.573,76.6435,99.3003,84.9155,102.102,46.101,40.5664,28.0068,41.4332,14.5888,21.4013,10.6859,5.75141,5.20645,3.59529,4.56123,15.6024
VNG_0096C,169.435,149.979,132.901,118.354,148.302,127.137,143.428,134.71,81.6067,89.2377,106.706,89.2434,88.5872,39.5284,29.1719,50.5166,29.6087,32.8944,16.2838,20.4602,15.6565,12.8135,2.18444,26.6917
VNG_0095G,329.104,326.503,279.957,231.694,249.951,305.162,158.092,134.088,92.7071,39.802,40.7675,43.9789,15.4139,11.8028,10.9238,11.313,7.9478,8.42582,3.46676,1.05479,1.5078,3.14621,2.8603,1.15249
VNG_0097G,299.89,263.405,244.89,212.779,287.716,198.773,228.966,198.087,148.809,206.607,156.402,205.411,30.2738,18.4845,14.5618,25.792,20.0436,18.1415,15.307,4.48774,13.5588,5.32437,0,11.284
VNG_0098G,21.323,23.0431,19.3857,22.8783,20.4002,25.0576,43.133,11.1487,11.1997,6.24982,7.67169,10.2793,11.1648,7.65939,3.96605,20.5998,3.56822,4.08798,0.809515,4.29946,3.06733,1.53815,1.45529,1.02769
VNG_0099G,1472.71,1288.56,1208.37,1102.13,949.586,1003.01,256.824,341.023,202.607,93.5186,86.2491,86.4843,38.5797,13.5878,8.33079,15.95,4.57382,5.19803,2.28973,7.54304,3.07297,1.01026,0.434394,1.774
VNG_0101G,23008,22789.8,22115.3,23634.1,21500,22903,7702.98,8565.42,5879.63,5373.73,4316.7,5299.95,360.29,337.477,399.21,184.171,208.722,416.383,0,340.481,136.151,190.097,103.223,125.898
VNG_0102C,115.906,103.48,102.882,89.736,90.8898,89.6866,104.045,75.1818,58.5207,66.1007,58.0985,62.6574,10.2675,11.6026,11.232,3.47052,6.35784,5.12714,4.74858,7.30254,9.01132,3.62964,1.5243,3.85039
VNG_0104G,7.93846,8.27058,9.72191,8.314,13.5473,14.4024,50.8748,32.1766,25.9072,20.8923,31.5106,25.1178,10.1928,13.4657,6.87081,12.7463,12.6908,12.8655,39.4621,23.5657,17.164,13.6329,12.0782,12.2739
VNG_0105H,21.9038,21.7789,20.776,18.303,24.0568,20.2553,51.8661,41.8756,30.7396,36.7315,42.3657,41.9783,20.8641,11.7121,16.0521,0,20.7631,15.2633,0,12.9289,19.4216,13.7573,12.9133,9.93814
VNG_0106G,77.1385,75.519,59.4757,63.3399,70.4039,62.701,88.7556,38.3194,32.4023,22.9452,21.6552,23.6006,21.9349,7.03182,4.88501,12.2961,13.8739,16.9801,13.5005,14.7434,11.5173,8.20647,4.92063,9.10283
VNG_0107G,52.1742,74.3984,63.4121,53.9554,61.022,68.7656,110.62,32.7045,37.3939,25.7697,23.1272,31.2865,15.1782,6.72547,3.1753,5.49699,5.09655,2.11066,2.4012,4.74382,3.86543,5.00241,3.19205,1.42873
VNG_0108G,35.4357,40.7619,37.8904,38.4886,44.9356,43.5291,85.0763,29.335,27.9056,14.5642,13.8721,17.7254,24.2851,11.8057,8.89079,9.69875,9.91396,10.0435,8.35115,8.44244,10.5396,7.50072,4.73614,4.20483
VNG_0110C,38.7061,40.1175,41.7984,34.8711,34.7401,40.8839,50.0691,21.4129,19.5267,10.8713,10.074,11.7869,24.0868,13.2897,7.65176,11.9483,5.54487,12.3778,0,1.27647,4.47496,0.802469,3.42025,2.35188
VNG_t01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0112H,14.2701,22.3675,28.068,22.6067,30.2072,34.1504,242.239,22.3192,42.5384,19.8556,21.0583,58.4871,9.35622,3.64733,2.667,2.33762,3.67219,6.86489,0.896612,1.7131,4.57737,1.4645,1.17455,1.40096
VNG_0113H,13.513,12.2838,13.2196,8.99368,12.8778,11.8307,24.7997,8.10431,8.42202,7.65612,8.15468,8.3363,1.32891,1.26609,0.346653,0.537544,0.448157,0.807466,0,1.18062,0.686392,0,0,0
VNG_0115G,52.8473,47.9413,50.8677,46.6075,56.8735,55.8626,119.648,67.3285,70.0574,67.6348,65.7614,120.184,6.73789,6.36137,5.13938,5.06746,3.18006,6.59292,0,5.82866,6.45976,3.50331,1.35713,0
VNG_0116H,4.68487,13.6759,16.3011,6.64597,16.5465,15.9241,94.6398,7.13626,19.8381,5.54239,7.4052,21.7539,1.58141,0.579977,0.0749222,0.981917,0.265105,0,0,0,0.201289,0.324991,0,0.503021
VNG_0117H,8.76883,14.272,18.3669,8.81076,14.736,18.4544,152.659,19.4773,28.5786,18.7663,19.3801,34.8246,0,3.60335,0,0,7.16333,5.55732,0,0,0,0,0,0
VNG_0118H,6.22664,9.46996,11.3526,7.81027,13.4531,13.578,60.2423,13.1585,25.2805,11.7256,11.8465,16.7654,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0119H,70.1744,47.3206,75.6097,68.889,50.5403,73.5597,51.2883,50.4225,32.9412,18.0397,14.7708,15.8219,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0120H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_t02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0121H,14.2407,14.9919,15.3948,12.5515,21.2675,17.9558,66.4194,28.2713,25.4131,28.1833,29.2097,34.2704,0,8.32351,2.85423,4.00822,0,3.10939,0,2.85227,2.20033,0,0,11.4403
VNG_0123G,49.0195,51.6131,51.1883,43.0366,42.6096,38.9757,54.697,39.2732,28.968,14.1032,13.8949,15.9167,34.0082,28.2057,19.4602,21.1905,20.0933,15.5079,10.0718,15.0369,14.4657,6.82304,9.90954,3.54715
VNG_0124C,59.7328,49.8945,55.0025,53.7848,53.2122,51.1356,41.206,68.7126,44.3242,19.0112,24.9814,20.0594,28.6448,49.3593,35.2569,48.1624,32.7993,45.2542,2.91769,22.7888,26.3201,2.74952,4.12634,10.0529
VNG_0125H,57.2606,50.2387,49.5789,55.4138,57.2066,45.5488,73.2799,100.247,64.5686,37.4954,48.8701,44.5325,10.0913,21.8453,12.4815,10.3168,10.0218,23.3247,15.307,13.4632,20.3382,5.32437,18.5033,11.284
VNG_0127C,126.882,115.767,94.8261,96.5109,94.1205,91.2958,106.959,57.1748,41.3065,17.2682,15.7397,19.9214,10.6278,16.8339,5.77601,27.4424,13.8155,0,0,4.66695,0,0,0,0
VNG_0128C,94.5392,82.5024,59.8339,52.4283,61.0121,52.465,56.3564,33.2319,23.4562,15.4603,14.2002,16.8867,7.00855,9.81619,4.45212,15.5526,2.26359,7.39816,2.45021,0,4.25132,0.928581,1.38351,0
VNG_0129G,204.195,192.791,177.972,230.931,253.454,226.866,240.886,264.338,177.056,234.163,195.449,208.997,167.134,96.7005,51.0381,94.3942,71.8047,77.4293,71.0129,75.4277,79.0359,98.5316,52.0111,96.4031
VNG_0130H,298.665,212.238,261.352,316.236,318.925,362.973,201.172,380.234,229.286,214.671,211.227,223.025,0,0,24.3092,0,0,0,0,52.4423,39.6109,31.1095,54.0559,0
VNG_0132C,28.5127,26.2038,23.3193,19.0356,18.1685,21.6624,22.6627,19.1311,12.0193,8.86535,13.061,10.4873,96.196,39.3403,21.5668,34.0368,44.9649,27.4935,10.2332,21.2436,20.7365,44.1039,9.50973,26.715
VNG_t03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0133G,114.592,101.16,76.8402,77.5699,83.9614,79.6307,54.7935,48.3996,33.0075,21.1082,22.4953,21.0352,60.2804,46.6794,22.4504,39.156,32.68,37.1329,4.59671,11.6503,12.3395,2.64065,0.985375,1.23288
VNG_0134G,211.524,189.813,161.1,142.177,176.794,158.206,116.536,113.148,88.5359,51.9016,50.6198,51.006,23.2259,38.7475,26.2221,23.7617,12.6796,22.8597,0,6.8135,41.042,2.02093,0,6.02244
VNG_0136G,114.273,95.8752,76.4511,72.453,77.7852,61.1687,47.7924,47.1197,31.2166,25.0939,24.8496,22.8261,21.5532,20.6926,18.8965,18.149,14.055,10.865,4.83327,4.73917,3.9297,3.55823,3.37384,3.40647
VNG_0137G,37.6967,33.127,30.7468,23.7898,26.5691,26.0494,30.2467,20.1492,17.5911,14.3289,17.8032,19.6404,19.9786,11.4105,8.41274,9.76638,6.2628,9.02864,2.3428,2.25651,2.11684,2.35246,2.16152,7.80016
VNG_t04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_t05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0138H,2.91249,4.17792,3.16318,1.61457,3.07649,5.35448,37.8049,3.93066,9.84368,3.59383,3.49433,5.0657,0,4.78728,0,0,0,7.38326,0,0,0,0,0,0
VNG_0139H,9.12533,13.6939,12.0101,7.23699,13.4499,10.7391,52.3827,6.36538,11.7834,3.72187,4.75986,13.0636,0,0.589181,0,4.16642,1.27921,2.5581,0,2.9104,5.59793,0,0,1.24538
VNG_0140H,14.1534,17.5697,14.6396,12.6682,11.8923,17.1186,234.815,6.63237,19.2197,13.1892,13.4059,36.9255,0,9.69334,0,0,0,0,0,0,0,0,0,0
VNG_0141H,49.7778,59.46,54.7372,35.8332,53.8338,63.1294,126.733,46.4713,53.377,29.8168,20.1414,40.3473,0,11.9156,4.91694,24.385,0,12.2513,0,0,0,0,10.9337,0
VNG_0142C,101.549,106.847,128.803,117.842,165.319,192.414,338.14,114.143,114.93,91.2563,70.7245,127.75,10.3125,6.2088,3.54682,2.9214,3.42275,8.92887,0,8.7827,2.32023,7.78047,13.1896,12.4238
